,short_name,value_eur,wage_eur,preferred_foot,team_position,weak_foot,skill_moves,age,work_rate,team_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_positions,overall,potential
4465,Josué da Feira,2400000,11000,1,13,3,3,28,8,10.0,67.0,74.0,60.0,71.0,29.0,60.0,10.0,10.0,10.0,10.0,10.0,10.0,60,75,69,65,76,68,65,58,61,77,68,66,66,77,73,73,74,66,60,76,49,22,69,50,67,71,23,20,13,13,14,13,18,ST,71,71
4466,Ailton Cardenhas,1800000,8000,1,28,3,1,20,8,1.0,30.0,30.0,30.0,30.0,30.0,30.0,71.0,72.0,72.0,72.0,24.0,76.0,10,10,30,20,12,12,16,16,17,23,19,28,30,50,29,54,35,19,67,11,25,12,3,66,25,52,16,14,71,72,72,76,72,GK,71,71
4467,Wiliam Santinho,1800000,9000,1,28,2,1,24,8,31.0,30.0,30.0,30.0,30.0,30.0,30.0,61.0,77.0,76.0,73.0,35.0,70.0,8,8,10,20,9,9,8,17,16,21,37,34,21,61,20,57,62,31,85,7,44,28,23,63,14,54,13,12,61,77,76,70,73,GK,71,71
4468,Wagner Orsinho,2300000,10000,0,28,3,2,20,2,16.0,77.0,57.0,68.0,64.0,68.0,59.0,10.0,10.0,10.0,10.0,10.0,10.0,73,52,59,73,54,61,62,48,71,64,78,76,65,71,76,59,70,67,54,62,61,64,60,59,74,70,72,67,10,7,8,7,12,LB,71,71
4469,Luisinho Conradi,2300000,14000,0,28,3,3,20,8,13.0,69.0,56.0,66.0,75.0,68.0,71.0,10.0,10.0,10.0,10.0,10.0,10.0,72,54,52,66,59,75,74,51,68,76,73,66,72,72,73,62,72,76,71,53,62,59,68,59,55,65,71,69,11,10,14,9,7,LB,71,71
4470,Edsinho Torres,2200000,7000,1,28,3,2,24,8,2.0,70.0,54.0,60.0,60.0,67.0,70.0,10.0,10.0,10.0,10.0,10.0,10.0,73,48,70,62,43,48,44,63,60,75,62,76,63,65,72,62,62,79,65,59,75,57,55,48,70,62,68,77,10,10,12,11,11,LB,71,71
4471,Daguinho Parrela,2200000,13000,1,28,3,2,24,8,19.0,75.0,44.0,68.0,58.0,68.0,75.0,10.0,10.0,10.0,10.0,10.0,10.0,72,41,62,73,44,55,45,46,71,61,73,76,65,64,56,43,68,78,78,42,67,63,56,62,61,61,68,67,12,8,16,9,16,"RB, RWB",71,71
4472,Alexandre Frandeira,2300000,6000,1,28,1,2,20,5,4.0,49.0,44.0,53.0,49.0,70.0,81.0,10.0,10.0,10.0,10.0,10.0,10.0,51,36,65,62,35,45,46,41,64,57,47,51,46,67,38,62,60,64,90,47,84,68,36,34,43,73,71,67,8,7,9,10,10,"CB, CDM",71,71
4473,Dinei Peixo,2600000,500,1,28,4,2,24,8,28.0,73.0,66.0,69.0,73.0,58.0,75.0,10.0,10.0,10.0,10.0,10.0,10.0,74,66,67,68,59,74,68,66,65,72,74,73,75,70,73,70,68,78,68,62,88,51,70,69,65,65,56,59,6,16,16,15,15,"RW, RM",71,71
4474,Macarinho Louro,2600000,7000,0,12,3,4,20,8,25.0,81.0,60.0,67.0,76.0,32.0,51.0,10.0,10.0,10.0,10.0,10.0,10.0,77,61,56,71,51,75,55,56,72,77,88,75,82,66,78,54,55,54,55,62,37,26,59,53,71,72,25,26,9,9,11,12,11,"LM, CM",71,71
4475,Jairinhazo,2600000,7000,1,28,4,4,20,8,8.0,76.0,54.0,73.0,77.0,41.0,47.0,10.0,10.0,10.0,10.0,10.0,10.0,74,62,46,76,62,76,74,75,63,77,78,75,83,63,91,39,54,64,38,41,46,42,62,75,72,71,51,32,10,13,8,10,9,"CAM, CM",71,71
4476,Raphael Paneira,2600000,13000,1,28,4,4,20,8,10.0,56.0,62.0,68.0,75.0,36.0,60.0,10.0,10.0,10.0,10.0,10.0,10.0,69,62,64,73,63,77,44,57,64,76,58,54,73,73,57,52,50,46,74,67,44,31,74,70,59,72,44,48,11,8,7,9,15,"CAM, RM",71,71
4477,Adrián Burnabão,2600000,13000,1,25,4,4,24,2,19.0,62.0,65.0,74.0,75.0,24.0,61.0,10.0,10.0,10.0,10.0,10.0,10.0,73,58,42,76,70,75,68,74,71,75,53,69,74,71,73,72,72,65,64,72,48,30,60,76,75,73,23,21,11,13,7,7,15,"CAM, RW",71,71
4478,Gus Outomouro,2700000,16000,1,28,3,3,24,8,17.0,71.0,72.0,68.0,73.0,28.0,62.0,10.0,10.0,10.0,10.0,10.0,10.0,62,74,67,73,73,70,71,60,62,74,72,70,79,73,76,75,71,68,63,69,50,23,68,73,56,71,25,20,8,9,16,11,7,"ST, LM",71,71
4479,Paulao Junqueiras,2700000,15000,1,28,4,3,20,7,9.0,38.0,77.0,51.0,62.0,27.0,71.0,10.0,10.0,10.0,10.0,10.0,10.0,34,77,76,62,71,63,59,46,38,67,35,41,48,66,37,85,33,45,92,70,58,22,76,57,71,70,19,21,12,7,9,11,15,ST,71,71
4480,M. Higashiguchi,1000000,6000,1,5,3,1,34,8,1.0,30.0,30.0,30.0,30.0,30.0,30.0,68.0,70.0,75.0,69.0,33.0,73.0,12,8,11,17,9,8,14,10,28,12,34,32,34,68,46,56,59,45,54,6,26,12,12,25,15,26,12,14,68,70,75,73,69,GK,71,71
4481,S. Sasaki,1900000,7000,0,8,3,2,30,6,19.0,71.0,37.0,63.0,65.0,72.0,68.0,10.0,10.0,10.0,10.0,10.0,10.0,70,34,69,71,42,62,61,32,67,67,72,71,73,66,69,42,82,69,67,36,67,74,42,49,38,60,72,70,8,10,10,10,8,"CB, LB",71,71
4482,A. Esaka,2400000,8000,1,0,4,3,28,2,10.0,81.0,70.0,68.0,70.0,53.0,64.0,10.0,10.0,10.0,10.0,10.0,10.0,65,72,69,67,65,70,67,62,69,68,82,80,78,69,71,70,81,69,61,69,62,57,70,72,55,67,55,49,6,9,9,5,12,"CAM, CF, ST",71,71
4483,R. Nagaki,1500000,6000,1,28,2,2,32,6,6.0,59.0,56.0,69.0,68.0,71.0,69.0,10.0,10.0,10.0,10.0,10.0,10.0,72,52,57,71,32,65,65,72,70,71,58,59,72,68,71,64,68,70,68,60,70,73,69,64,57,60,73,72,7,11,9,11,5,"RB, CDM, CM",71,71
4484,Garrido,2000000,16000,1,28,3,2,30,6,5.0,43.0,43.0,57.0,52.0,69.0,89.0,10.0,10.0,10.0,10.0,10.0,10.0,41,32,60,67,34,50,41,49,62,62,42,44,37,62,38,68,48,89,93,45,87,75,50,60,38,65,75,63,15,8,11,8,13,"CDM, CM",71,71
4485,S. Taniguchi,2100000,8000,1,8,3,2,28,3,5.0,64.0,45.0,58.0,59.0,72.0,71.0,10.0,10.0,10.0,10.0,10.0,10.0,50,35,72,73,39,55,35,32,67,64,56,71,58,70,59,63,69,78,72,48,62,74,55,47,45,61,73,69,8,13,11,14,14,CB,71,71
4486,Eduardo Fonseira,1800000,7000,1,28,3,1,20,8,1.0,30.0,30.0,30.0,30.0,30.0,30.0,71.0,70.0,74.0,69.0,35.0,72.0,6,6,10,15,8,8,7,10,9,9,32,37,39,62,40,56,58,30,69,6,15,11,9,40,16,71,14,12,71,70,74,72,69,GK,71,71
4487,Jony Reitosa,2000000,9000,1,17,2,2,28,8,5.0,74.0,42.0,54.0,58.0,67.0,74.0,10.0,10.0,10.0,10.0,10.0,10.0,57,32,58,59,50,48,44,39,55,62,75,74,77,78,74,69,83,83,65,37,85,62,49,47,36,64,72,75,12,11,9,9,10,RB,71,71
4488,Rômulo Calsede,2700000,17000,0,28,3,3,20,8,16.0,72.0,72.0,60.0,67.0,32.0,69.0,10.0,10.0,10.0,10.0,10.0,10.0,50,74,69,66,69,66,60,55,61,69,71,73,69,68,62,72,79,76,73,66,47,30,73,61,75,70,26,24,12,12,12,14,12,ST,71,71
4489,C. Cáceda,1700000,500,1,5,2,1,28,8,12.0,30.0,30.0,30.0,30.0,30.0,30.0,69.0,69.0,65.0,72.0,29.0,71.0,10,8,12,23,8,11,11,12,21,17,33,26,31,71,48,49,67,32,56,9,29,6,5,25,18,49,12,11,69,69,65,71,72,GK,71,71
4490,L. Reyes,2000000,22000,0,28,3,3,29,0,16.0,74.0,49.0,65.0,69.0,66.0,64.0,10.0,10.0,10.0,10.0,10.0,10.0,71,34,62,66,44,68,50,46,62,69,76,72,72,68,70,64,71,85,62,65,40,67,61,70,48,64,67,66,10,9,14,9,11,LB,71,71
4491,B. Dibassy,1900000,5000,0,8,3,2,30,6,21.0,71.0,54.0,61.0,67.0,71.0,76.0,10.0,10.0,10.0,10.0,10.0,10.0,70,48,67,68,44,66,54,30,64,69,71,71,67,67,66,68,72,84,74,59,72,71,60,48,36,64,71,70,6,5,8,9,5,"CB, LB",71,71
4492,M. Pajač,2500000,19000,0,21,2,3,27,6,93.0,74.0,66.0,70.0,71.0,61.0,60.0,10.0,10.0,10.0,10.0,10.0,10.0,72,64,59,72,54,73,69,68,71,70,74,74,69,69,55,73,68,66,52,70,68,62,65,62,53,65,62,62,6,10,6,7,10,"LM, LB",71,71
4493,Y. Shakhov,2300000,500,1,28,4,3,29,8,28.0,69.0,68.0,67.0,70.0,65.0,70.0,10.0,10.0,10.0,10.0,10.0,10.0,51,70,65,74,57,72,68,52,70,73,68,69,64,66,47,74,57,67,73,66,67,64,66,72,48,70,67,61,7,12,9,14,7,"CAM, CM, CDM",71,71
4494,Ângelo Neto,2100000,13000,1,10,2,3,28,2,8.0,64.0,64.0,68.0,72.0,62.0,75.0,10.0,10.0,10.0,10.0,10.0,10.0,59,60,46,75,61,72,59,66,70,74,66,63,67,70,66,82,60,83,70,57,83,66,65,66,59,71,64,59,13,9,13,14,12,"CDM, CM",71,71
4495,R. Benzar,2000000,500,1,17,2,2,28,2,2.0,75.0,54.0,67.0,63.0,68.0,68.0,10.0,10.0,10.0,10.0,10.0,10.0,69,51,61,68,49,60,66,68,63,63,77,74,73,72,70,57,57,68,71,54,62,68,61,66,65,68,72,69,9,10,6,6,7,RB,71,71
4496,M. Olivera,2000000,9000,0,7,3,3,28,2,15.0,69.0,56.0,63.0,72.0,69.0,66.0,10.0,10.0,10.0,10.0,10.0,10.0,74,50,55,68,38,74,65,68,58,74,72,66,68,62,60,64,59,67,67,66,64,64,56,44,52,66,72,72,10,7,10,14,6,"LB, LM",71,71
4497,G. Blanco Leschuk,2400000,9000,1,28,3,2,28,2,25.0,68.0,72.0,47.0,62.0,35.0,78.0,10.0,10.0,10.0,10.0,10.0,10.0,32,73,77,67,57,63,33,39,25,62,69,67,59,66,52,74,63,76,86,70,63,30,78,49,66,68,27,20,8,11,14,13,10,ST,71,71
4498,K. Rezaei,2400000,11000,1,27,4,3,28,0,10.0,67.0,72.0,67.0,66.0,28.0,68.0,10.0,10.0,10.0,10.0,10.0,10.0,67,71,75,70,66,65,68,70,50,68,65,68,64,71,63,77,68,69,71,71,58,18,73,71,79,71,18,13,10,6,14,7,14,ST,71,71
4499,M. Fouzair,2400000,14000,1,23,4,3,28,2,10.0,82.0,61.0,66.0,75.0,28.0,60.0,10.0,10.0,10.0,10.0,10.0,10.0,64,62,34,68,49,76,68,72,65,72,81,82,83,64,74,61,43,70,61,60,49,25,65,65,58,63,30,22,12,9,6,15,13,"RM, LM",71,71
4500,J. Sandoval,1100000,8000,1,17,3,2,33,2,15.0,71.0,53.0,60.0,64.0,69.0,75.0,10.0,10.0,10.0,10.0,10.0,10.0,65,53,69,64,41,64,44,49,58,62,70,72,70,64,68,59,70,80,73,49,76,70,57,54,46,59,70,71,13,8,13,10,9,RB,71,71
4502,A. Bareiro,2100000,500,1,12,2,3,31,2,20.0,82.0,56.0,66.0,70.0,33.0,56.0,10.0,10.0,10.0,10.0,10.0,10.0,63,65,36,63,59,71,52,59,67,64,84,81,80,69,85,47,49,90,41,44,55,40,66,77,40,54,39,35,14,13,6,13,9,RM,71,71
4503,N. Bancu,2100000,7000,0,7,2,2,27,2,11.0,75.0,66.0,67.0,71.0,65.0,70.0,10.0,10.0,10.0,10.0,10.0,10.0,72,62,54,69,55,69,73,45,66,71,76,74,81,70,73,81,60,86,66,63,64,59,69,63,61,76,70,65,11,8,15,13,9,LB,71,71
4504,Fran Gámez,2000000,6000,1,7,4,2,28,2,15.0,77.0,47.0,59.0,67.0,67.0,67.0,10.0,10.0,10.0,10.0,10.0,10.0,67,46,64,65,37,68,62,33,57,67,75,78,59,66,69,57,59,77,65,42,62,64,51,50,41,54,70,68,6,11,10,10,7,"RB, LB",71,71
4505,Corpas,2400000,7000,1,23,3,3,28,8,17.0,84.0,60.0,67.0,72.0,36.0,57.0,10.0,10.0,10.0,10.0,10.0,10.0,69,60,46,70,49,71,55,60,66,72,85,83,82,62,67,66,57,69,60,55,36,21,63,65,59,62,29,34,15,14,6,7,11,RM,71,71
4506,K. Eissa,1600000,500,1,5,3,1,30,8,17.0,30.0,30.0,30.0,30.0,30.0,30.0,70.0,65.0,59.0,77.0,48.0,72.0,14,9,13,22,9,12,10,11,21,20,51,46,56,71,53,44,73,27,46,8,18,13,8,50,19,49,11,11,70,65,59,72,77,GK,71,71
4507,B. Al Ahbabi,2300000,500,1,23,2,3,29,0,11.0,86.0,54.0,69.0,71.0,57.0,52.0,10.0,10.0,10.0,10.0,10.0,10.0,76,54,54,67,55,70,74,65,64,68,87,85,77,66,85,58,52,76,42,48,48,60,65,69,41,66,57,62,13,10,14,14,14,"RM, RB",71,71
4508,M. Fernández,2100000,9000,1,28,4,3,31,2,11.0,82.0,68.0,64.0,73.0,32.0,58.0,10.0,10.0,10.0,10.0,10.0,10.0,68,68,48,69,61,73,53,42,57,71,83,82,81,64,78,78,56,69,63,58,33,27,69,66,66,67,35,34,8,8,10,14,10,RM,71,71
4509,J. Soraire,2000000,7000,1,19,5,3,31,0,8.0,76.0,61.0,71.0,75.0,62.0,83.0,10.0,10.0,10.0,10.0,10.0,10.0,67,55,51,73,51,73,81,63,71,75,79,73,80,71,83,75,69,88,81,61,83,63,59,71,61,81,69,59,12,9,10,13,9,CM,71,71
4510,Mateus Pasinato,1700000,7000,1,5,3,1,28,8,14.0,30.0,30.0,30.0,30.0,30.0,30.0,71.0,72.0,71.0,67.0,21.0,71.0,14,6,13,21,9,9,14,11,21,18,28,16,21,69,26,53,33,24,60,6,28,7,8,51,19,29,14,11,71,72,71,71,67,GK,71,71
4511,A. Romero,2000000,500,1,19,2,2,29,8,4.0,67.0,68.0,70.0,73.0,61.0,75.0,10.0,10.0,10.0,10.0,10.0,10.0,59,70,50,75,61,73,59,59,73,74,66,67,74,72,69,71,76,85,73,65,69,64,59,74,57,80,63,66,13,13,9,13,16,CDM,71,71
4512,J. Frimpong,3500000,13000,1,17,3,3,19,2,30.0,90.0,48.0,64.0,77.0,62.0,67.0,10.0,10.0,10.0,10.0,10.0,10.0,69,48,50,68,38,76,64,47,54,75,92,89,88,61,89,51,71,74,64,47,66,60,59,63,39,74,67,65,12,7,8,13,14,"RB, RWB",70,86
4513,N. Madueke,3700000,3000,0,28,3,4,18,8,23.0,78.0,65.0,64.0,78.0,36.0,56.0,10.0,10.0,10.0,10.0,10.0,10.0,57,67,42,66,60,79,69,58,62,76,79,78,83,71,79,66,75,52,59,62,48,31,58,67,61,69,32,37,5,13,6,12,15,"RM, ST",70,86
4514,R. Matondo,3800000,8000,1,28,3,3,19,2,14.0,94.0,57.0,64.0,73.0,37.0,49.0,10.0,10.0,10.0,10.0,10.0,10.0,65,64,47,67,57,74,71,67,56,70,93,94,82,59,76,52,71,57,48,52,38,27,59,61,40,50,46,34,8,5,6,12,13,"LM, ST, RM",70,85
4515,Nuno Mendes,3400000,2000,0,15,2,2,18,2,35.0,86.0,40.0,59.0,68.0,65.0,59.0,10.0,10.0,10.0,10.0,10.0,10.0,65,37,57,64,40,64,40,41,54,68,87,86,82,66,76,40,65,73,48,38,66,63,60,56,45,53,68,67,7,8,8,12,15,"LB, LM, LWB",70,85
4516,R. Brewster,3900000,32000,1,21,4,3,20,2,24.0,79.0,71.0,55.0,72.0,20.0,61.0,10.0,10.0,10.0,10.0,10.0,10.0,50,74,58,61,70,72,47,58,50,69,79,79,77,72,76,71,67,64,62,67,51,15,72,56,61,62,18,17,7,12,10,8,5,ST,70,84
4517,P. Gueye,3700000,13000,0,28,3,2,21,8,22.0,64.0,45.0,61.0,66.0,66.0,77.0,10.0,10.0,10.0,10.0,10.0,10.0,49,37,57,70,45,67,46,35,68,68,62,66,61,65,56,64,67,79,78,43,75,68,49,63,42,61,70,65,12,12,12,14,12,"CDM, CM",70,84
4518,V. Supryaga,3900000,500,1,27,3,3,20,7,89.0,87.0,70.0,46.0,72.0,18.0,50.0,10.0,10.0,10.0,10.0,10.0,10.0,28,74,54,66,54,72,32,34,28,71,86,87,78,75,62,68,57,52,58,66,27,16,75,47,62,58,16,14,11,9,15,10,15,ST,70,84
4519,I. Aliseda,3900000,4000,1,0,4,3,20,8,7.0,87.0,60.0,62.0,76.0,39.0,56.0,10.0,10.0,10.0,10.0,10.0,10.0,61,60,47,67,55,77,49,43,57,73,89,85,85,63,87,68,67,71,51,55,49,29,64,67,51,71,41,45,11,9,7,13,11,"LW, RW, ST",70,84
4520,N. Katterbach,3500000,7000,0,28,2,2,19,2,3.0,74.0,40.0,58.0,73.0,66.0,58.0,10.0,10.0,10.0,10.0,10.0,10.0,63,40,53,69,31,74,41,31,54,73,74,74,72,68,74,46,54,65,54,32,59,67,48,50,41,70,70,68,12,13,12,10,8,LB,70,84
4521,E. Cömert,3200000,8000,1,18,4,2,22,8,4.0,71.0,44.0,50.0,54.0,69.0,74.0,10.0,10.0,10.0,10.0,10.0,10.0,36,23,67,62,36,41,39,54,55,68,69,73,69,65,65,76,81,72,78,64,64,67,33,43,35,59,72,71,6,8,5,7,6,CB,70,83
4522,M. Gibbs-White,3400000,12000,1,0,2,4,20,7,11.0,72.0,61.0,70.0,72.0,56.0,64.0,10.0,10.0,10.0,10.0,10.0,10.0,62,57,55,75,52,73,65,63,73,71,72,72,74,68,75,70,58,67,66,65,57,58,69,71,49,73,56,53,7,7,14,15,11,"CAM, CM",70,83
4523,C. Gallagher,3400000,29000,1,28,2,3,20,8,18.0,63.0,64.0,64.0,72.0,59.0,65.0,10.0,10.0,10.0,10.0,10.0,10.0,49,66,48,70,40,73,52,53,72,72,64,62,67,70,68,62,57,75,60,66,68,67,70,70,54,59,66,50,7,6,15,9,9,"CAM, CM",70,83
4524,M. Johnston,3400000,20000,1,28,3,4,21,2,19.0,86.0,65.0,63.0,73.0,29.0,48.0,10.0,10.0,10.0,10.0,10.0,10.0,63,69,51,65,53,73,70,67,50,71,88,84,85,55,82,68,61,68,46,59,27,20,66,65,57,69,27,25,10,15,9,8,12,"LM, ST, RM",70,83
4525,L. Reis,3400000,44000,1,21,2,3,20,6,46.0,70.0,59.0,64.0,70.0,68.0,69.0,10.0,10.0,10.0,10.0,10.0,10.0,54,58,59,72,48,70,51,44,68,72,69,70,70,72,64,64,79,72,66,62,72,75,63,67,51,60,70,62,10,15,14,11,7,"CM, CDM",70,83
4526,A. Gouiri,3500000,15000,1,14,3,3,20,8,11.0,74.0,70.0,62.0,74.0,32.0,62.0,10.0,10.0,10.0,10.0,10.0,10.0,54,73,59,68,65,75,68,38,56,73,73,74,73,70,70,73,61,58,66,63,56,33,73,66,66,73,29,24,6,12,8,9,7,ST,70,83
4527,F. Ortega,3100000,6000,0,28,3,3,21,2,34.0,87.0,59.0,62.0,75.0,61.0,71.0,10.0,10.0,10.0,10.0,10.0,10.0,71,55,57,63,48,77,67,49,56,72,84,90,82,65,68,73,75,79,68,58,67,65,61,57,49,71,65,59,8,7,14,11,11,"LB, LWB",70,83
4528,Alberto Soro,3400000,10000,0,28,3,3,21,8,26.0,83.0,63.0,67.0,69.0,44.0,61.0,10.0,10.0,10.0,10.0,10.0,10.0,60,64,49,69,55,67,59,57,73,69,87,79,79,65,74,66,52,69,61,61,55,32,66,69,53,62,47,56,12,11,9,11,13,RM,70,83
4529,F. Agu,3100000,10000,1,28,3,3,20,2,17.0,87.0,46.0,60.0,75.0,61.0,59.0,10.0,10.0,10.0,10.0,10.0,10.0,64,46,67,66,47,75,61,31,40,68,90,85,90,70,85,41,81,78,45,51,65,64,59,65,40,60,58,62,11,15,10,12,10,"LB, RB, LM",70,83
4530,Y. Adli,3400000,11000,1,28,3,3,19,8,19.0,60.0,67.0,72.0,73.0,58.0,64.0,10.0,10.0,10.0,10.0,10.0,10.0,66,65,62,75,62,75,69,74,69,75,62,59,65,69,57,73,60,69,64,66,57,55,68,75,60,72,57,55,14,12,9,10,14,"CF, CAM, CM",70,83
4531,A. Gaich,3500000,500,1,28,3,2,21,8,21.0,68.0,69.0,55.0,66.0,29.0,68.0,10.0,10.0,10.0,10.0,10.0,10.0,48,75,72,64,55,67,47,41,43,69,66,69,64,64,48,70,71,68,79,56,38,19,73,61,66,73,26,28,8,7,7,14,14,ST,70,83
4532,A. Bernabei,3000000,5000,0,7,3,3,19,2,25.0,91.0,59.0,60.0,74.0,61.0,67.0,10.0,10.0,10.0,10.0,10.0,10.0,69,57,43,63,49,74,72,43,53,70,92,91,88,64,87,69,75,82,56,59,76,67,59,53,45,63,66,62,13,9,10,11,5,"LB, LW, LM",70,83
4533,K. Bielik,2900000,13000,1,28,3,3,22,6,5.0,60.0,45.0,63.0,68.0,69.0,72.0,10.0,10.0,10.0,10.0,10.0,10.0,49,33,68,70,46,71,48,45,71,67,55,64,65,66,48,62,65,64,77,52,71,72,59,68,42,74,69,67,15,7,12,8,8,"CDM, CB",70,82
4534,Pepelu,3000000,4000,1,21,3,3,21,8,21.0,56.0,61.0,70.0,69.0,64.0,67.0,10.0,10.0,10.0,10.0,10.0,10.0,64,55,49,73,48,68,66,75,68,73,58,54,67,66,61,68,41,89,61,66,60,65,69,70,63,64,65,59,12,13,6,9,6,"CDM, CM",70,82
4535,Diogo Costa,2600000,4000,1,28,3,1,20,8,31.0,30.0,30.0,30.0,30.0,30.0,30.0,69.0,66.0,59.0,73.0,33.0,71.0,13,6,11,28,8,18,10,10,24,25,29,36,34,67,35,44,53,23,62,9,23,18,18,44,14,44,13,11,69,66,59,71,73,GK,70,82
4536,D. Maresic,2900000,9000,1,28,5,2,20,8,29.0,53.0,31.0,53.0,51.0,73.0,70.0,10.0,10.0,10.0,10.0,10.0,10.0,44,26,64,58,25,45,32,25,67,54,54,52,62,68,61,56,84,69,73,20,62,73,28,53,35,74,73,71,14,11,15,11,7,CB,70,82
4537,M. Andersen,3100000,6000,1,19,3,3,21,8,8.0,73.0,58.0,68.0,72.0,59.0,70.0,10.0,10.0,10.0,10.0,10.0,10.0,55,55,45,74,48,70,60,64,71,73,76,70,78,68,78,70,65,83,68,54,60,62,63,71,48,74,60,53,12,10,11,9,6,CM,70,82
4538,S. Wamangituka,3200000,11000,1,12,2,5,20,8,14.0,89.0,65.0,54.0,74.0,38.0,67.0,10.0,10.0,10.0,10.0,10.0,10.0,54,71,70,61,59,77,59,33,41,69,85,92,83,64,68,67,64,69,72,49,54,29,71,57,76,62,34,25,8,13,13,9,11,"ST, RM, LM",70,82
4539,D. Hancko,2900000,500,0,8,3,2,22,2,33.0,73.0,49.0,64.0,65.0,70.0,74.0,10.0,10.0,10.0,10.0,10.0,10.0,67,43,74,67,42,66,60,64,63,65,74,73,64,69,49,58,63,79,75,51,70,68,55,57,52,69,73,70,14,12,6,7,14,"CB, LB",70,82
4540,V. Mihăilă,3200000,6000,1,14,4,3,20,2,28.0,90.0,65.0,65.0,71.0,33.0,58.0,10.0,10.0,10.0,10.0,10.0,10.0,63,66,42,68,63,71,66,45,63,69,91,90,82,66,72,70,57,79,52,58,45,25,65,66,58,67,30,35,5,11,8,11,10,LW,70,82
4541,W. Fofana,2800000,8000,1,18,2,2,19,8,3.0,68.0,35.0,52.0,60.0,71.0,69.0,10.0,10.0,10.0,10.0,10.0,10.0,39,29,71,65,33,59,32,33,59,63,67,69,58,64,55,45,74,65,72,37,65,67,38,45,48,60,74,72,14,12,9,14,6,CB,70,82
4542,C. De Ketelaere,3100000,9000,0,28,4,3,19,8,90.0,73.0,62.0,72.0,73.0,56.0,65.0,10.0,10.0,10.0,10.0,10.0,10.0,73,63,68,75,59,74,71,68,68,76,68,77,70,68,55,64,61,73,68,61,47,55,64,68,46,72,57,48,11,8,14,8,8,"CF, ST, CAM",70,82
4543,Manu Sánchez,2800000,12000,0,21,3,3,19,8,35.0,70.0,40.0,59.0,66.0,67.0,61.0,10.0,10.0,10.0,10.0,10.0,10.0,67,37,56,65,36,64,52,34,53,70,70,70,62,68,66,43,62,73,54,41,65,69,52,53,38,62,70,69,6,6,10,12,6,LB,70,82
4544,Nilton Varela,2800000,2000,0,21,2,3,19,2,25.0,75.0,50.0,60.0,73.0,66.0,70.0,10.0,10.0,10.0,10.0,10.0,10.0,69,46,58,66,50,75,74,36,48,72,78,73,75,64,69,57,71,67,71,50,70,65,58,50,56,75,69,69,14,12,11,10,14,LWB,70,82
4545,T. Adarabioyo,2800000,40000,1,21,3,2,22,8,24.0,61.0,31.0,55.0,55.0,70.0,72.0,10.0,10.0,10.0,10.0,10.0,10.0,38,30,66,73,25,47,30,22,68,66,52,68,58,68,52,36,74,68,79,28,57,73,28,44,35,76,70,69,14,11,11,8,9,"CB, RB",70,81
4546,T. Roberts,3100000,33000,1,28,3,3,21,8,11.0,78.0,68.0,64.0,73.0,35.0,69.0,10.0,10.0,10.0,10.0,10.0,10.0,62,70,64,68,59,72,57,42,62,73,76,79,79,63,74,71,60,74,75,62,51,35,69,68,70,70,39,27,12,8,13,9,13,"CAM, CM, ST",70,81
4547,D. Fry,2800000,8000,1,28,3,2,22,8,6.0,64.0,29.0,55.0,58.0,71.0,70.0,10.0,10.0,10.0,10.0,10.0,10.0,54,25,72,62,26,57,28,22,53,63,61,66,36,70,62,40,78,66,74,25,65,68,29,58,36,70,71,68,10,8,12,14,7,CB,70,81
4548,C. Martins,2800000,10000,1,19,3,3,23,6,35.0,60.0,54.0,62.0,63.0,68.0,77.0,10.0,10.0,10.0,10.0,10.0,10.0,52,53,65,70,47,63,47,39,68,67,54,65,53,63,67,67,59,85,77,45,72,67,57,62,45,63,68,65,7,6,6,13,13,"CDM, CM",70,81
4549,R. Gumny,2800000,12000,1,28,3,2,22,0,2.0,86.0,37.0,60.0,69.0,64.0,67.0,10.0,10.0,10.0,10.0,10.0,10.0,64,28,50,67,46,66,53,31,52,68,89,83,82,63,75,47,66,81,70,38,41,67,54,57,38,64,67,64,11,6,13,12,6,RB,70,81
4550,J. Esquivel,2800000,6000,1,28,3,2,22,8,16.0,70.0,51.0,60.0,65.0,70.0,72.0,10.0,10.0,10.0,10.0,10.0,10.0,39,42,68,71,33,62,59,35,66,67,73,68,73,65,65,68,74,72,75,63,63,72,49,62,44,76,67,66,9,6,8,11,8,"CDM, CM",70,81
4551,Alex Pozo,2800000,9000,1,21,3,3,21,1,17.0,73.0,69.0,67.0,74.0,66.0,45.0,10.0,10.0,10.0,10.0,10.0,10.0,72,70,67,70,64,74,59,52,64,71,75,72,86,68,78,68,62,68,37,73,31,62,65,63,58,55,70,62,10,13,7,12,15,"RB, RM, LM",70,81
