,short_name,value_eur,wage_eur,preferred_foot,team_position,weak_foot,skill_moves,age,work_rate,team_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,player_positions,overall,potential
703,L. Martínez,13500000,15000,Left,LDM,3,3,22,Medium/High,21.0,69.0,58.0,72.0,75.0,78.0,79.0,10.0,10.0,10.0,10.0,10.0,10.0,70,52,73,78,52,73,63,53,79,78,74,64,73,73.0,79.0,68.0,87.0,82.0,75.0,62.0,81.0,77.0,62.0,64.0,55.0,78.0,81.0,76.0,6.0,14.0,13.0,14.0,8.0,"CDM, CB, LB",78,85
704,R. Loftus-Cheek,14000000,70000,Right,CAM,3,4,24,High/Medium,12.0,69.0,67.0,76.0,80.0,62.0,79.0,10.0,10.0,10.0,10.0,10.0,10.0,62,66,58,84,54,84,60,57,81,81,63,73,69,70.0,67.0,76.0,59.0,74.0,83.0,68.0,79.0,59.0,79.0,80.0,45.0,80.0,67.0,61.0,11.0,7.0,12.0,15.0,13.0,CM,78,84
705,N. Elvedi,13000000,30000,Right,LCB,3,3,23,Medium/Medium,30.0,73.0,34.0,64.0,68.0,80.0,76.0,10.0,10.0,10.0,10.0,10.0,10.0,65,30,79,77,30,67,45,29,57,72,66,79,64,77.0,54.0,42.0,74.0,75.0,79.0,31.0,70.0,82.0,53.0,59.0,37.0,65.0,83.0,77.0,9.0,15.0,10.0,12.0,9.0,CB,78,84
706,M. Locatelli,13000000,27000,Right,LDM,3,3,22,Medium/Medium,73.0,57.0,64.0,75.0,74.0,77.0,69.0,10.0,10.0,10.0,10.0,10.0,10.0,72,54,68,79,64,75,66,60,77,79,56,58,65,73.0,56.0,76.0,57.0,72.0,68.0,75.0,70.0,79.0,57.0,77.0,60.0,68.0,78.0,75.0,11.0,12.0,11.0,10.0,15.0,"CDM, CM",78,84
707,B. Embolo,14500000,37000,Right,RES,4,3,23,Medium/Medium,36.0,87.0,76.0,70.0,74.0,40.0,81.0,10.0,10.0,10.0,10.0,10.0,10.0,63,78,71,76,64,77,68,51,70,74,83,91,66,76.0,67.0,82.0,73.0,78.0,85.0,70.0,79.0,41.0,78.0,72.0,66.0,74.0,42.0,38.0,13.0,6.0,7.0,7.0,12.0,"ST, CAM",78,84
708,P. Bernardoni,10500000,16000,Left,GK,2,1,23,Medium/Medium,1.0,30.0,30.0,30.0,30.0,30.0,30.0,78.0,74.0,73.0,84.0,29.0,77.0,12,13,21,28,17,16,15,18,24,25,31,27,21,67.0,34.0,55.0,70.0,36.0,68.0,16.0,29.0,25.0,15.0,21.0,19.0,55.0,12.0,18.0,78.0,74.0,73.0,77.0,84.0,GK,78,84
709,M. Akanji,13000000,42000,Right,LCB,3,2,24,Medium/Medium,16.0,77.0,47.0,68.0,71.0,80.0,76.0,10.0,10.0,10.0,10.0,10.0,10.0,53,36,74,77,42,69,54,55,74,74,73,81,69,77.0,64.0,75.0,80.0,72.0,78.0,48.0,73.0,80.0,36.0,67.0,40.0,76.0,83.0,78.0,10.0,9.0,13.0,6.0,9.0,CB,78,84
710,Palhinha,13000000,12000,Right,RCM,4,2,24,Medium/High,34.0,40.0,51.0,66.0,67.0,77.0,83.0,10.0,10.0,10.0,10.0,10.0,10.0,44,38,76,77,54,68,54,45,75,75,39,41,50,74.0,44.0,76.0,80.0,80.0,86.0,53.0,78.0,78.0,51.0,68.0,56.0,79.0,80.0,67.0,14.0,10.0,8.0,7.0,7.0,"CDM, CM",78,84
711,S. Serdar,14000000,27000,Right,RES,3,3,23,Medium/Medium,8.0,69.0,72.0,74.0,80.0,75.0,79.0,10.0,10.0,10.0,10.0,10.0,10.0,62,72,70,82,55,83,75,52,73,80,69,69,69,77.0,68.0,75.0,84.0,80.0,76.0,77.0,85.0,78.0,68.0,76.0,53.0,70.0,78.0,73.0,15.0,8.0,5.0,13.0,10.0,"CM, CDM, CAM",78,84
712,A. Lafont,11000000,14000,Right,GK,3,1,21,Medium/Medium,1.0,30.0,30.0,30.0,30.0,30.0,30.0,79.0,76.0,70.0,82.0,46.0,75.0,13,6,13,54,9,14,13,12,38,10,48,45,60,69.0,53.0,53.0,73.0,40.0,70.0,9.0,20.0,17.0,4.0,47.0,16.0,59.0,14.0,12.0,79.0,76.0,70.0,75.0,82.0,GK,78,84
713,P. Schick,14500000,55000,Left,ST,2,4,24,Medium/Medium,14.0,70.0,76.0,71.0,81.0,37.0,67.0,10.0,10.0,10.0,10.0,10.0,10.0,64,79,80,78,74,82,78,56,62,83,71,70,83,76.0,67.0,74.0,68.0,64.0,72.0,74.0,59.0,25.0,80.0,73.0,58.0,73.0,24.0,19.0,11.0,15.0,8.0,9.0,14.0,"ST, RW",78,84
714,F. Chiesa,14500000,50000,Right,RM,4,4,22,High/High,25.0,85.0,74.0,71.0,83.0,44.0,62.0,10.0,10.0,10.0,10.0,10.0,10.0,72,70,50,76,68,84,74,48,60,81,87,84,86,78.0,77.0,81.0,53.0,74.0,57.0,78.0,62.0,30.0,76.0,73.0,62.0,76.0,34.0,34.0,6.0,7.0,8.0,9.0,7.0,"CF, RW",78,84
715,C. Ünder,14000000,66000,Left,SUB,4,3,22,Medium/Medium,19.0,82.0,75.0,74.0,82.0,37.0,50.0,10.0,10.0,10.0,10.0,10.0,10.0,83,71,58,72,69,83,80,68,65,82,85,79,84,71.0,82.0,82.0,47.0,67.0,50.0,82.0,27.0,29.0,73.0,73.0,64.0,68.0,33.0,30.0,9.0,13.0,7.0,9.0,8.0,"RM, RW",78,84
716,Melendo,14000000,10000,Left,SUB,3,3,22,Medium/Medium,14.0,78.0,69.0,76.0,80.0,56.0,61.0,10.0,10.0,10.0,10.0,10.0,10.0,77,71,42,80,63,79,75,35,78,81,79,78,85,70.0,88.0,73.0,54.0,70.0,59.0,70.0,57.0,59.0,76.0,77.0,37.0,66.0,58.0,53.0,9.0,7.0,13.0,15.0,8.0,"RM, CAM",78,84
717,M. Rojas,14000000,19000,Left,LCM,3,4,24,High/Medium,10.0,79.0,78.0,76.0,80.0,63.0,70.0,10.0,10.0,10.0,10.0,10.0,10.0,69,76,64,79,66,82,85,84,74,81,73,84,77,74.0,66.0,85.0,65.0,79.0,68.0,83.0,64.0,69.0,76.0,75.0,66.0,79.0,62.0,58.0,8.0,6.0,12.0,8.0,11.0,"LM, CM, RM",78,84
718,T. Koopmeiners,13000000,11000,Left,CDM,2,3,22,Medium/Medium,8.0,66.0,69.0,77.0,70.0,76.0,76.0,10.0,10.0,10.0,10.0,10.0,10.0,76,62,73,81,64,68,68,74,78,75,67,66,66,78.0,69.0,75.0,75.0,83.0,76.0,75.0,69.0,79.0,67.0,74.0,86.0,78.0,75.0,75.0,14.0,8.0,14.0,12.0,10.0,"CDM, CB",78,84
719,Unai Núñez,13000000,20000,Right,SUB,2,2,23,Medium/High,3.0,69.0,22.0,47.0,50.0,78.0,75.0,10.0,10.0,10.0,10.0,10.0,10.0,29,16,78,75,21,35,27,22,45,72,63,73,38,74.0,62.0,39.0,78.0,68.0,79.0,17.0,74.0,80.0,23.0,30.0,31.0,62.0,79.0,83.0,9.0,9.0,15.0,6.0,11.0,CB,78,84
720,L. Dendoncker,12500000,66000,Right,SUB,4,2,25,High/High,32.0,67.0,72.0,77.0,71.0,79.0,83.0,10.0,10.0,10.0,10.0,10.0,10.0,75,66,79,80,71,72,73,71,78,75,59,73,58,73.0,55.0,85.0,73.0,88.0,85.0,76.0,75.0,78.0,76.0,76.0,55.0,77.0,80.0,76.0,14.0,8.0,14.0,14.0,6.0,"CB, CM",78,83
721,Rony Lopes,14000000,36000,Left,RW,3,4,24,High/Medium,22.0,77.0,74.0,74.0,82.0,30.0,56.0,10.0,10.0,10.0,10.0,10.0,10.0,78,76,38,74,56,82,76,73,67,82,81,74,82,72.0,88.0,77.0,51.0,68.0,58.0,75.0,39.0,29.0,74.0,75.0,65.0,74.0,28.0,27.0,11.0,10.0,12.0,12.0,11.0,"LW, LM",78,83
722,J. Gbamin,12500000,59000,Right,SUB,3,3,24,Medium/High,25.0,75.0,57.0,73.0,74.0,78.0,80.0,10.0,10.0,10.0,10.0,10.0,10.0,69,40,71,78,53,75,62,60,74,77,69,79,67,74.0,65.0,82.0,77.0,74.0,82.0,71.0,85.0,79.0,65.0,72.0,40.0,72.0,80.0,71.0,11.0,13.0,8.0,14.0,10.0,"CDM, CM",78,83
723,S. Lobotka,13500000,57000,Right,SUB,4,4,25,Medium/High,68.0,62.0,63.0,76.0,78.0,70.0,65.0,10.0,10.0,10.0,10.0,10.0,10.0,68,64,45,84,43,77,68,55,77,82,64,60,76,74.0,81.0,62.0,79.0,85.0,56.0,68.0,57.0,74.0,67.0,76.0,56.0,74.0,76.0,68.0,10.0,7.0,16.0,13.0,14.0,"CM, CDM",78,83
724,M. Caldara,12000000,48000,Right,CB,3,2,26,Medium/High,3.0,60.0,34.0,46.0,62.0,82.0,73.0,10.0,10.0,10.0,10.0,10.0,10.0,34,36,80,63,51,62,20,24,58,63,59,61,58,74.0,59.0,38.0,76.0,61.0,77.0,20.0,76.0,82.0,34.0,32.0,30.0,74.0,84.0,80.0,14.0,9.0,6.0,9.0,5.0,CB,78,83
725,R. Borré,14000000,19000,Right,RS,3,3,24,High/High,19.0,83.0,78.0,72.0,78.0,47.0,79.0,10.0,10.0,10.0,10.0,10.0,10.0,69,82,73,72,73,77,79,67,69,77,83,83,85,79.0,81.0,80.0,83.0,90.0,70.0,70.0,87.0,39.0,83.0,75.0,73.0,81.0,41.0,29.0,11.0,14.0,14.0,11.0,8.0,ST,78,83
726,K. Piątek,14000000,48000,Right,LS,3,3,25,Medium/Medium,9.0,73.0,79.0,53.0,75.0,38.0,71.0,10.0,10.0,10.0,10.0,10.0,10.0,51,84,80,64,75,75,60,40,35,77,75,72,74,75.0,62.0,80.0,81.0,73.0,76.0,69.0,51.0,31.0,86.0,52.0,75.0,72.0,38.0,24.0,10.0,15.0,10.0,6.0,13.0,ST,78,83
727,J. Bamba,14000000,33000,Right,LM,4,4,24,High/High,14.0,88.0,74.0,70.0,81.0,36.0,64.0,10.0,10.0,10.0,10.0,10.0,10.0,66,73,61,72,68,81,75,64,65,81,89,88,81,75.0,81.0,77.0,71.0,74.0,60.0,72.0,62.0,32.0,76.0,74.0,76.0,76.0,37.0,38.0,15.0,14.0,15.0,8.0,9.0,LM,78,83
728,F. Grillitsch,13500000,32000,Right,LCM,3,3,24,Medium/Medium,11.0,58.0,60.0,78.0,77.0,72.0,66.0,10.0,10.0,10.0,10.0,10.0,10.0,68,58,61,85,53,78,47,68,81,81,61,55,67,82.0,65.0,65.0,48.0,70.0,72.0,60.0,50.0,75.0,70.0,82.0,50.0,81.0,75.0,60.0,13.0,12.0,7.0,14.0,7.0,"CM, CDM",78,83
729,S. Sensi,13500000,73000,Right,SUB,4,3,24,Medium/Medium,12.0,67.0,59.0,80.0,80.0,67.0,67.0,10.0,10.0,10.0,10.0,10.0,10.0,75,48,45,83,49,79,75,75,83,84,71,64,75,73.0,90.0,69.0,68.0,77.0,60.0,73.0,71.0,74.0,67.0,81.0,73.0,78.0,73.0,73.0,10.0,6.0,8.0,11.0,13.0,"CM, CDM",78,83
730,F. Sacko,12000000,11000,Right,RB,3,3,25,High/Medium,17.0,94.0,45.0,61.0,74.0,71.0,75.0,10.0,10.0,10.0,10.0,10.0,10.0,68,43,62,66,45,73,59,34,56,72,93,94,79,80.0,73.0,50.0,83.0,91.0,64.0,38.0,78.0,69.0,69.0,56.0,41.0,75.0,76.0,73.0,9.0,8.0,12.0,10.0,15.0,RB,78,83
731,Y. En-Nesyri,14000000,27000,Left,SUB,4,3,23,High/High,15.0,76.0,77.0,54.0,77.0,34.0,76.0,10.0,10.0,10.0,10.0,10.0,10.0,48,84,80,63,70,82,63,47,46,75,72,80,67,77.0,50.0,75.0,80.0,76.0,75.0,69.0,76.0,31.0,79.0,52.0,67.0,72.0,31.0,27.0,13.0,9.0,14.0,9.0,13.0,ST,78,83
732,O. Kolář,10000000,500,Right,GK,3,1,25,Medium/Medium,1.0,30.0,30.0,30.0,30.0,30.0,30.0,75.0,73.0,81.0,80.0,58.0,79.0,13,7,11,40,6,30,13,14,29,37,56,59,44,73.0,24.0,61.0,44.0,25.0,60.0,8.0,17.0,11.0,5.0,51.0,15.0,60.0,12.0,14.0,75.0,73.0,81.0,79.0,80.0,GK,78,83
733,E. Dier,12000000,73000,Right,LCB,2,2,26,Medium/High,15.0,53.0,63.0,70.0,64.0,80.0,83.0,10.0,10.0,10.0,10.0,10.0,10.0,64,52,83,75,51,65,60,69,78,70,51,54,48,79.0,38.0,82.0,78.0,60.0,92.0,72.0,89.0,77.0,53.0,63.0,74.0,77.0,80.0,81.0,11.0,14.0,6.0,13.0,9.0,"CDM, CB",78,82
734,B. Cristante,12000000,44000,Right,SUB,3,3,25,Medium/Medium,4.0,55.0,72.0,75.0,75.0,75.0,75.0,10.0,10.0,10.0,10.0,10.0,10.0,70,68,76,81,70,76,68,62,78,80,58,53,62,76.0,54.0,80.0,56.0,77.0,75.0,77.0,76.0,74.0,76.0,74.0,58.0,74.0,77.0,74.0,3.0,5.0,3.0,3.0,5.0,"CDM, CM, CAM",78,82
735,J. O'Connell,12000000,36000,Left,LCB,2,2,26,High/Medium,5.0,62.0,37.0,64.0,63.0,79.0,82.0,10.0,10.0,10.0,10.0,10.0,10.0,71,35,76,71,30,62,47,32,64,67,59,65,54,78.0,48.0,41.0,81.0,79.0,83.0,40.0,82.0,79.0,42.0,58.0,34.0,67.0,79.0,74.0,9.0,12.0,7.0,6.0,12.0,CB,78,82
736,S. Gigot,12000000,500,Right,LCB,2,2,26,Medium/Medium,2.0,67.0,38.0,63.0,60.0,78.0,79.0,10.0,10.0,10.0,10.0,10.0,10.0,68,35,82,70,30,55,34,33,73,65,63,70,61,76.0,57.0,44.0,80.0,71.0,83.0,33.0,79.0,77.0,49.0,55.0,56.0,67.0,79.0,77.0,11.0,15.0,13.0,10.0,10.0,CB,78,82
737,D. Ćaleta-Car,12000000,31000,Right,LCB,3,2,23,Low/High,15.0,62.0,40.0,60.0,62.0,78.0,81.0,10.0,10.0,10.0,10.0,10.0,10.0,28,32,80,78,32,59,28,31,80,69,60,63,49,76.0,59.0,70.0,80.0,77.0,84.0,27.0,77.0,77.0,54.0,60.0,38.0,78.0,79.0,75.0,8.0,9.0,9.0,10.0,8.0,CB,78,82
738,A. Diallo,12000000,55000,Left,SUB,3,3,24,Medium/Medium,22.0,75.0,38.0,71.0,76.0,78.0,76.0,10.0,10.0,10.0,10.0,10.0,10.0,69,38,78,78,39,75,56,32,76,78,73,76,73,77.0,71.0,46.0,83.0,74.0,76.0,24.0,77.0,78.0,61.0,69.0,41.0,81.0,78.0,81.0,12.0,7.0,7.0,7.0,8.0,"CB, LB",78,82
739,Daniel Podence,13500000,72000,Right,RW,4,4,24,High/Medium,10.0,92.0,60.0,71.0,85.0,33.0,50.0,10.0,10.0,10.0,10.0,10.0,10.0,66,59,42,74,57,86,75,42,68,82,94,90,92,77.0,94.0,65.0,66.0,75.0,30.0,55.0,67.0,21.0,76.0,77.0,63.0,78.0,30.0,29.0,14.0,14.0,8.0,7.0,15.0,"LW, RW, CF",78,82
740,Domingos Duarte,12000000,25000,Right,RCB,3,2,25,Medium/Medium,22.0,54.0,35.0,55.0,53.0,79.0,78.0,10.0,10.0,10.0,10.0,10.0,10.0,54,30,80,78,27,48,27,27,56,63,55,53,41,78.0,48.0,50.0,60.0,75.0,80.0,31.0,82.0,79.0,40.0,30.0,45.0,64.0,81.0,79.0,9.0,9.0,14.0,14.0,13.0,CB,78,82
741,R. Barkley,12500000,80000,Right,SUB,5,4,26,Medium/Medium,8.0,69.0,74.0,78.0,80.0,57.0,73.0,10.0,10.0,10.0,10.0,10.0,10.0,67,69,65,83,62,83,69,73,80,84,69,69,65,76.0,61.0,81.0,64.0,69.0,76.0,81.0,74.0,54.0,75.0,80.0,65.0,80.0,60.0,51.0,9.0,14.0,12.0,6.0,10.0,"CM, CAM",78,81
742,E. Martínez,9000000,43000,Right,SUB,3,1,27,Medium/Medium,26.0,30.0,30.0,30.0,30.0,30.0,30.0,78.0,80.0,78.0,77.0,58.0,77.0,22,16,26,45,13,13,22,20,48,35,59,57,49,73.0,49.0,59.0,60.0,40.0,70.0,16.0,37.0,13.0,12.0,64.0,42.0,53.0,20.0,20.0,78.0,80.0,78.0,77.0,77.0,GK,78,81
743,L. Karius,9000000,59000,Right,RES,3,1,27,Medium/Medium,22.0,30.0,30.0,30.0,30.0,30.0,30.0,82.0,72.0,78.0,81.0,54.0,76.0,14,18,14,38,14,16,12,14,41,23,55,54,51,74.0,43.0,59.0,74.0,36.0,64.0,16.0,21.0,13.0,8.0,50.0,19.0,60.0,11.0,13.0,82.0,72.0,78.0,76.0,81.0,GK,78,81
744,M. Niang,13000000,49000,Right,SUB,4,3,25,High/Low,11.0,81.0,79.0,68.0,79.0,31.0,72.0,10.0,10.0,10.0,10.0,10.0,10.0,67,79,69,72,72,81,70,66,58,83,77,85,72,69.0,63.0,87.0,71.0,70.0,82.0,74.0,52.0,30.0,78.0,71.0,75.0,74.0,24.0,20.0,4.0,6.0,4.0,4.0,4.0,ST,78,81
745,M. Batshuayi,13000000,60000,Right,SUB,5,4,26,Medium/Low,23.0,75.0,79.0,58.0,78.0,33.0,72.0,10.0,10.0,10.0,10.0,10.0,10.0,65,81,75,62,77,78,66,46,36,79,75,75,75,77.0,75.0,81.0,80.0,64.0,79.0,73.0,63.0,23.0,81.0,62.0,67.0,81.0,26.0,22.0,9.0,10.0,16.0,7.0,15.0,ST,78,81
746,L. Trossard,13000000,55000,Right,LS,4,4,25,High/Medium,11.0,82.0,77.0,76.0,81.0,30.0,62.0,10.0,10.0,10.0,10.0,10.0,10.0,75,75,62,76,74,81,81,69,77,79,89,76,92,70.0,85.0,76.0,78.0,73.0,60.0,82.0,47.0,18.0,75.0,76.0,75.0,80.0,31.0,18.0,14.0,8.0,11.0,7.0,7.0,"LM, LW",78,81
747,E. Hysaj,11500000,54000,Right,SUB,3,3,26,Medium/Medium,23.0,76.0,51.0,67.0,73.0,77.0,72.0,10.0,10.0,10.0,10.0,10.0,10.0,74,47,66,75,40,72,40,30,68,74,74,77,74,75.0,69.0,68.0,68.0,80.0,66.0,43.0,79.0,78.0,63.0,59.0,40.0,74.0,80.0,78.0,12.0,6.0,14.0,9.0,11.0,"RB, LB",78,81
748,R. Gagliardini,11500000,77000,Right,SUB,3,3,26,Medium/High,5.0,57.0,63.0,71.0,74.0,77.0,72.0,10.0,10.0,10.0,10.0,10.0,10.0,64,54,73,78,68,75,68,38,75,77,60,55,62,72.0,62.0,76.0,62.0,83.0,67.0,73.0,74.0,78.0,68.0,73.0,40.0,74.0,79.0,77.0,12.0,6.0,8.0,7.0,9.0,"CDM, CM",78,81
749,R. Zobnin,11500000,500,Right,RCM,3,4,26,High/High,47.0,76.0,62.0,76.0,77.0,76.0,72.0,10.0,10.0,10.0,10.0,10.0,10.0,73,60,70,81,55,77,65,66,79,82,74,78,70,77.0,65.0,65.0,63.0,90.0,66.0,62.0,69.0,73.0,68.0,72.0,67.0,77.0,76.0,74.0,10.0,8.0,13.0,15.0,9.0,"CDM, CM, LM",78,81
750,Loren,13000000,28000,Right,SUB,3,3,26,Medium/Medium,16.0,73.0,81.0,60.0,77.0,36.0,74.0,10.0,10.0,10.0,10.0,10.0,10.0,41,83,73,74,81,78,72,53,41,79,74,72,70,78.0,58.0,80.0,70.0,71.0,76.0,77.0,76.0,21.0,80.0,67.0,77.0,70.0,19.0,23.0,7.0,13.0,13.0,15.0,6.0,ST,78,81
751,S. Mustafi,10500000,72000,Right,RCB,2,2,28,Medium/High,20.0,58.0,57.0,63.0,61.0,77.0,77.0,10.0,10.0,10.0,10.0,10.0,10.0,53,58,81,75,51,53,55,47,69,70,55,61,63,76.0,67.0,66.0,81.0,68.0,78.0,52.0,87.0,75.0,49.0,55.0,54.0,73.0,79.0,78.0,11.0,9.0,15.0,10.0,6.0,CB,78,80
752,L. Dunk,10500000,55000,Right,CB,3,2,28,Medium/High,5.0,51.0,49.0,62.0,63.0,79.0,78.0,10.0,10.0,10.0,10.0,10.0,10.0,32,37,76,75,24,65,52,69,75,70,48,53,37,82.0,39.0,72.0,74.0,67.0,83.0,67.0,80.0,78.0,30.0,58.0,36.0,77.0,78.0,78.0,15.0,16.0,9.0,12.0,6.0,CB,78,80
753,J. Egan,11000000,36000,Right,CB,3,2,27,Low/Medium,12.0,64.0,46.0,54.0,61.0,79.0,77.0,10.0,10.0,10.0,10.0,10.0,10.0,32,43,76,72,50,55,36,29,69,68,62,65,60,81.0,66.0,62.0,77.0,69.0,80.0,41.0,79.0,81.0,38.0,44.0,42.0,65.0,80.0,76.0,15.0,10.0,9.0,8.0,6.0,CB,78,80
754,Y. Poulsen,12500000,54000,Right,RS,3,3,26,Medium/High,9.0,81.0,71.0,67.0,74.0,56.0,81.0,10.0,10.0,10.0,10.0,10.0,10.0,68,76,85,73,75,75,70,42,53,75,80,82,73,80.0,54.0,73.0,83.0,86.0,78.0,58.0,83.0,51.0,81.0,69.0,58.0,72.0,58.0,32.0,6.0,11.0,15.0,14.0,8.0,ST,78,80
755,A. Doucouré,11000000,69000,Right,RCM,3,3,27,High/Medium,16.0,68.0,74.0,71.0,74.0,76.0,82.0,10.0,10.0,10.0,10.0,10.0,10.0,68,72,66,77,68,76,41,42,75,77,64,72,62,75.0,68.0,84.0,72.0,90.0,80.0,75.0,77.0,77.0,73.0,75.0,54.0,74.0,78.0,76.0,15.0,12.0,12.0,15.0,14.0,"CDM, CAM, CM",78,80
756,F. Schär,10500000,41000,Right,RCB,4,2,28,High/Medium,5.0,61.0,69.0,71.0,69.0,79.0,76.0,10.0,10.0,10.0,10.0,10.0,10.0,65,63,80,75,61,68,65,66,76,73,60,61,64,77.0,64.0,78.0,88.0,75.0,78.0,73.0,71.0,80.0,63.0,69.0,78.0,80.0,80.0,78.0,8.0,9.0,11.0,10.0,15.0,CB,78,80
757,De Tomás,13000000,12000,Right,LS,4,3,25,Medium/Medium,11.0,73.0,80.0,62.0,77.0,35.0,68.0,10.0,10.0,10.0,10.0,10.0,10.0,50,81,74,75,79,76,61,73,52,79,72,74,77,76.0,74.0,81.0,80.0,65.0,72.0,80.0,58.0,22.0,80.0,57.0,75.0,77.0,16.0,20.0,6.0,11.0,13.0,7.0,14.0,ST,78,80
758,José Sá,8500000,500,Right,GK,2,1,27,Medium/Medium,1.0,30.0,30.0,30.0,30.0,30.0,30.0,79.0,76.0,64.0,80.0,45.0,76.0,18,15,14,30,17,17,12,21,20,20,42,48,62,76.0,40.0,48.0,70.0,34.0,72.0,18.0,20.0,18.0,17.0,43.0,11.0,32.0,19.0,15.0,79.0,76.0,64.0,76.0,80.0,GK,78,80
759,B. Bourigeaud,12500000,47000,Right,RCM,3,3,26,High/High,14.0,71.0,74.0,79.0,78.0,66.0,74.0,10.0,10.0,10.0,10.0,10.0,10.0,80,71,63,79,68,79,79,81,76,79,72,70,72,78.0,74.0,77.0,72.0,83.0,69.0,76.0,74.0,73.0,77.0,79.0,76.0,76.0,69.0,65.0,14.0,7.0,15.0,11.0,15.0,"CM, LM",78,80
760,J. Amavi,11000000,37000,Left,LB,5,3,26,High/Medium,18.0,76.0,65.0,71.0,76.0,76.0,75.0,10.0,10.0,10.0,10.0,10.0,10.0,75,60,71,75,56,78,69,49,72,75,77,76,73,75.0,75.0,74.0,82.0,80.0,72.0,68.0,74.0,79.0,71.0,64.0,65.0,72.0,77.0,75.0,11.0,10.0,11.0,14.0,12.0,LB,78,80
761,Y. Mina,11500000,66000,Right,RCB,3,2,25,Medium/Medium,13.0,51.0,54.0,59.0,59.0,79.0,80.0,10.0,10.0,10.0,10.0,10.0,10.0,43,51,85,74,41,62,38,30,68,58,45,55,50,74.0,32.0,70.0,70.0,67.0,88.0,50.0,80.0,77.0,48.0,56.0,53.0,78.0,80.0,75.0,10.0,8.0,12.0,9.0,12.0,CB,78,80
762,M. Lanzini,12000000,43000,Right,SUB,3,4,27,Medium/Medium,10.0,76.0,72.0,78.0,82.0,32.0,47.0,10.0,10.0,10.0,10.0,10.0,10.0,74,70,52,80,61,83,76,76,77,81,78,74,84,72.0,88.0,76.0,75.0,64.0,35.0,75.0,48.0,27.0,73.0,78.0,73.0,77.0,36.0,25.0,14.0,9.0,6.0,7.0,15.0,"CAM, CM, LM",78,79
763,J. Svensson,10500000,12000,Right,RB,3,3,27,High/High,2.0,77.0,60.0,73.0,75.0,73.0,81.0,10.0,10.0,10.0,10.0,10.0,10.0,75,55,63,77,61,73,73,54,67,75,76,77,73,77.0,90.0,74.0,73.0,91.0,77.0,58.0,81.0,75.0,69.0,74.0,48.0,74.0,75.0,73.0,15.0,12.0,7.0,10.0,16.0,RB,78,79
764,F. Midtsjø,12000000,13000,Right,RCM,3,3,26,Medium/High,6.0,77.0,63.0,77.0,77.0,70.0,77.0,10.0,10.0,10.0,10.0,10.0,10.0,73,58,58,83,60,75,66,55,81,79,75,78,74,80.0,83.0,74.0,65.0,89.0,73.0,66.0,74.0,78.0,66.0,76.0,51.0,79.0,69.0,63.0,8.0,12.0,11.0,13.0,13.0,"CM, CDM",78,79
765,N. Redmond,12000000,55000,Right,LM,3,4,26,High/Medium,11.0,83.0,72.0,72.0,82.0,30.0,52.0,10.0,10.0,10.0,10.0,10.0,10.0,74,70,33,76,55,82,72,65,62,79,87,79,90,74.0,88.0,80.0,42.0,71.0,50.0,74.0,38.0,30.0,78.0,74.0,57.0,70.0,26.0,30.0,12.0,14.0,16.0,6.0,10.0,LM,78,79
766,Pablo,10000000,33000,Right,SUB,2,2,29,Medium/Medium,3.0,52.0,52.0,53.0,61.0,79.0,79.0,10.0,10.0,10.0,10.0,10.0,10.0,30,49,81,65,52,58,44,50,67,62,40,62,69,76.0,54.0,68.0,76.0,68.0,83.0,43.0,82.0,79.0,40.0,49.0,57.0,75.0,79.0,76.0,15.0,13.0,10.0,11.0,11.0,CB,78,79
767,D. Demme,10500000,57000,Right,CM,4,3,28,Medium/High,4.0,57.0,39.0,74.0,74.0,74.0,77.0,10.0,10.0,10.0,10.0,10.0,10.0,70,26,57,80,48,71,65,62,76,75,67,49,85,75.0,84.0,62.0,79.0,93.0,66.0,30.0,82.0,78.0,62.0,70.0,58.0,72.0,75.0,72.0,14.0,10.0,14.0,12.0,9.0,"CDM, CM",78,79
768,D. da Costa,10500000,28000,Right,RM,3,3,26,High/High,24.0,75.0,56.0,69.0,72.0,75.0,82.0,10.0,10.0,10.0,10.0,10.0,10.0,75,51,71,69,54,73,66,49,69,73,76,74,65,75.0,63.0,68.0,85.0,91.0,80.0,55.0,75.0,74.0,71.0,68.0,40.0,73.0,76.0,78.0,15.0,15.0,12.0,6.0,6.0,"RWB, RM, RB",78,79
